"filename", "language", "JavaScript", "Markdown", "Draw.io", "JSON", "JavaScript JSX", "log", "comment", "blank", "total"
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesTitle.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 3, 4, 44
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQuery.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 4, 4, 106
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQueryForAutoComplete.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 0, 4, 4, 101
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQueryMain.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 4, 4, 106
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\RecentSearches.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 3, 39
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\SearchResults.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 3, 33
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\SortButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 4, 68
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchevents\SearchEventsResult.jsx", "JavaScript JSX", 0, 0, 0, 0, 164, 0, 7, 18, 189
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchevents\SearchEventsResultMoreDates.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 0, 6, 12, 189
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\ManagerInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 128, 0, 2, 7, 137
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\MoreInformation.jsx", "JavaScript JSX", 0, 0, 0, 0, 117, 0, 0, 3, 120
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamDetailsMainTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 135, 0, 1, 7, 143
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamSeasons.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 10, 8, 70
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamsMatches.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 1, 5, 45
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\livematches\LiveMatches.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 7, 69
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\recentmatches\RecentMatches.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 2, 3, 18
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\welcome\SearchButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 92, 0, 0, 5, 97
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\welcome\Welcome.jsx", "JavaScript JSX", 0, 0, 0, 0, 75, 0, 3, 9, 87
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\welcome\WelcomeTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 60, 0, 0, 3, 63
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MapMarker.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MapsContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 0, 1, 12, 106
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MapsData.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 2, 4, 40
