"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "log", "comment", "blank", "total"
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\postFetch.js", "JavaScript", 31, 0, 0, 0, 0, 0, 5, 36
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\postViaAxiosData.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 23
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetch.js", "JavaScript", 23, 0, 0, 0, 0, 1, 4, 28
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchNews.js", "JavaScript", 23, 0, 0, 0, 0, 1, 4, 28
"d:\Program-Files\Coding-Files\project-wboson\goalFever\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 2
"d:\Program-Files\Coding-Files\project-wboson\goalFever\package.json", "JSON", 0, 0, 51, 0, 0, 0, 1, 52
"d:\Program-Files\Coding-Files\project-wboson\goalFever\provider\SearchDetailsContext.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 5, 16
"d:\Program-Files\Coding-Files\project-wboson\goalFever\utils\index.js", "JavaScript", 25, 0, 0, 0, 0, 2, 4, 31
"d:\Program-Files\Coding-Files\project-wboson\goalFever\utils\searchUtils.js", "JavaScript", 18, 0, 0, 0, 0, 3, 3, 24
"d:\Program-Files\Coding-Files\project-wboson\goalFever\yarn-error.log", "log", 0, 0, 0, 0, 6595, 0, 1005, 7600
"Total", "-", 382, 9, 61, 1897, 6595, 153, 1220, 10317
