"filename", "language", "JavaScript", "JSON", "Markdown", "log", "Draw.io", "JavaScript JSX", "comment", "blank", "total"
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\AnimatedStatistics.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 85, 0, 6, 91
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\EventDetailsMainTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 184, 0, 4, 188
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\LeagueSelectionMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 53, 0, 4, 57
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\Lineup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 128, 5, 7, 140
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\OddsBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 1, 6, 73
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\StatsBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 43, 1, 4, 48
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\lineupData.json", "JSON", 0, 6522, 0, 0, 0, 0, 0, 1, 6523
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\statsData.json", "JSON", 0, 995, 0, 0, 0, 0, 0, 1, 996
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\managerdetails\ManagerTransfers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 79, 1, 7, 87
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 81, 0, 5, 86
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 3, 6, 46
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesListContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 79, 6, 13, 98
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesTitle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 3, 4, 44
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQuery.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 98, 4, 4, 106
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQueryForAutoComplete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 93, 4, 4, 101
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQueryMain.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 98, 4, 4, 106
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\RecentSearches.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 3, 39
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\SearchResults.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 3, 33
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\SortButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 64, 0, 4, 68
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchevents\SearchEventsResult.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 172, 7, 19, 198
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchevents\SearchEventsResultMoreDates.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 172, 6, 12, 190
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\ManagerInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 117, 2, 7, 126
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\MoreInformation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 3, 78
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamDetailsMainTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 127, 1, 7, 135
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamSeasons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 59, 1, 7, 67
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamsMatches.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 47, 1, 6, 54
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\livematches\LiveMatches.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 5, 9, 89
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\recentmatches\RecentMatches.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 2, 3, 18
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\welcome\SearchButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 92, 0, 5, 97
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\welcome\Welcome.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 3, 9, 87
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\welcome\WelcomeTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 3, 63
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MapMarker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 3, 16
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MapsContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 93, 1, 12, 106
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MapsData.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 2, 4, 40
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MapsSearchScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 71, 0, 5, 76
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MoreInformationStadiumCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 0, 5, 61
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\ToggleSwitch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 64, 0, 4, 68
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\ViewOfMap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 146, 3, 10, 159
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\components\AutocompleteSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 77, 13, 9, 99
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\components\GetTeamsbyStadium.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 6, 16, 106
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\stadiumData.json", "JSON", 0, 8140, 0, 0, 0, 0, 0, 1, 8141
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 4, 3, 19
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsFooter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 4, 48
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsHeading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 2, 4, 38
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 3, 3, 28
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsListCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 117, 0, 3, 120
"d:\Program-Files\Coding-Files\project-wboson\goalFever\constants\icons.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 2, 24
"d:\Program-Files\Coding-Files\project-wboson\goalFever\constants\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\postViaAxiosData.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetch.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 3, 27
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchLineups.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 5, 29
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchMaps.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 4, 28
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchNews.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 4, 28
