Date : 2023-08-13 10:59:51
Directory : d:\Program-Files\Coding-Files\project-wboson\goalFever
Total : 67 files,  18917 codes, 335 comments, 1382 blanks, all 20634 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          4 |      8,218 |          0 |          4 |      8,222 |
| log            |          1 |      6,667 |          0 |      1,017 |      7,684 |
| JavaScript JSX |         47 |      3,469 |        276 |        285 |      4,030 |
| JavaScript     |         13 |        428 |         59 |         70 |        557 |
| Draw.io        |          1 |        126 |          0 |          0 |        126 |
| Markdown       |          1 |          9 |          0 |          6 |         15 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |         67 |     18,917 |        335 |      1,382 |     20,634 |
| . (Files)                                                                                                                       |          7 |      6,881 |          0 |      1,027 |      7,908 |
| app                                                                                                                             |          8 |        478 |         93 |         66 |        637 |
| app (Files)                                                                                                                     |          2 |         36 |          1 |          9 |         46 |
| app\(tabs)                                                                                                                      |          4 |         94 |         31 |         16 |        141 |
| app\search-details                                                                                                              |          1 |        177 |         49 |         20 |        246 |
| app\search-events                                                                                                               |          1 |        171 |         12 |         21 |        204 |
| components                                                                                                                      |         41 |     11,308 |        232 |        240 |     11,780 |
| components\common                                                                                                               |         21 |      2,006 |         56 |        116 |      2,178 |
| components\common\cards                                                                                                         |          9 |      1,062 |         24 |         44 |      1,130 |
| components\common\cards (Files)                                                                                                 |          3 |        528 |         17 |         14 |        559 |
| components\common\cards\mapscomponents                                                                                          |          2 |        209 |          4 |          9 |        222 |
| components\common\cards\searchcomponents                                                                                        |          4 |        325 |          3 |         21 |        349 |
| components\common\recentmatchescomponents                                                                                       |          4 |        190 |          7 |         20 |        217 |
| components\common\searchbar                                                                                                     |          3 |        289 |         12 |         12 |        313 |
| components\common\searchdetails                                                                                                 |          3 |        130 |          0 |         10 |        140 |
| components\common\searchevents                                                                                                  |          2 |        335 |         13 |         30 |        378 |
| components\home                                                                                                                 |          5 |        315 |         10 |         29 |        354 |
| components\home\livematches                                                                                                     |          1 |         75 |          5 |          9 |         89 |
| components\home\recentmatches                                                                                                   |          1 |         13 |          2 |          3 |         18 |
| components\home\welcome                                                                                                         |          3 |        227 |          3 |         17 |        247 |
| components\maps                                                                                                                 |         10 |      8,760 |        157 |         78 |      8,995 |
| components\maps (Files)                                                                                                         |          8 |      8,599 |        138 |         53 |      8,790 |
| components\maps\components                                                                                                      |          2 |        161 |         19 |         25 |        205 |
| components\news                                                                                                                 |          5 |        227 |          9 |         17 |        253 |
| constants                                                                                                                       |          1 |         22 |          0 |          2 |         24 |
| hook                                                                                                                            |          5 |        104 |          3 |         22 |        129 |
| server                                                                                                                          |          3 |         71 |          2 |         17 |         90 |
| utils                                                                                                                           |          2 |         53 |          5 |          8 |         66 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                        | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\Program-Files\Coding-Files\project-wboson\goalFever\README.md                                                                | Markdown       |          9 |          0 |          6 |         15 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\app.json                                                                 | JSON           |         10 |          0 |          1 |         11 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\Home.jsx                                                      | JavaScript JSX |         29 |         23 |          6 |         58 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\Maps.jsx                                                      | JavaScript JSX |         16 |          0 |          3 |         19 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\News.jsx                                                      | JavaScript JSX |         23 |          8 |          4 |         35 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\_layout.jsx                                                   | JavaScript JSX |         26 |          0 |          3 |         29 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\app\_layout.jsx                                                          | JavaScript JSX |         30 |          0 |          6 |         36 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\app\index.jsx                                                            | JavaScript JSX |          6 |          1 |          3 |         10 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\app\search-details\[id].js                                               | JavaScript     |        177 |         49 |         20 |        246 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\app\search-events\SearchEvents.jsx                                       | JavaScript JSX |        171 |         12 |         21 |        204 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\babel.config.js                                                          | JavaScript     |         11 |          0 |          1 |         12 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\LiveMatchesCard.jsx                              | JavaScript JSX |        163 |          0 |          4 |        167 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\SearchCard.jsx                                   | JavaScript JSX |        179 |          2 |          6 |        187 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\UpcomingMatchesCard.jsx                          | JavaScript JSX |        186 |         15 |          4 |        205 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\mapscomponents\PhoneCallButton.jsx               | JavaScript JSX |         57 |          0 |          5 |         62 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\mapscomponents\StadiumCard.jsx                   | JavaScript JSX |        152 |          4 |          4 |        160 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\ExtraInformationContainer.jsx   | JavaScript JSX |        119 |          1 |          4 |        124 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchImageContainer.jsx        | JavaScript JSX |         25 |          0 |          4 |         29 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchTeamCard.jsx              | JavaScript JSX |        127 |          2 |          6 |        135 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchTeamCardContainer.jsx     | JavaScript JSX |         54 |          0 |          7 |         61 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesFilter.jsx        | JavaScript JSX |         81 |          0 |          5 |         86 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesList.jsx          | JavaScript JSX |         37 |          3 |          6 |         46 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesListContainer.jsx | JavaScript JSX |         35 |          1 |          5 |         41 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesTitle.jsx         | JavaScript JSX |         37 |          3 |          4 |         44 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQuery.jsx                           | JavaScript JSX |         98 |          4 |          4 |        106 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQueryForAutoComplete.jsx            | JavaScript JSX |         93 |          4 |          4 |        101 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQueryMain.jsx                       | JavaScript JSX |         98 |          4 |          4 |        106 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\RecentSearches.jsx                       | JavaScript JSX |         36 |          0 |          3 |         39 |
| d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\SearchResults.jsx                        | JavaScript JSX |         30 |          0 |          3 |         33 |
